seller_id,seller_gmv_brl,seller_orders,avg_delivery_days,avg_review_score
cbd996ad3c1b7dc71fd0e5f5df9087e2,11284.96,165,12.84,4.08
259f7b5e6e482c230e5bfaa670b6bb8f,11265.25,138,8.6,4.21
81a1104df0f08b59c68aa5b03cfe398e,11235.27,73,12.83,4.27
ea566164622c6b439516ab18062c42cd,11167.98,50,14.23,3.75
066a6914e1ebf3ea95a216c73a986b91,11115.95,68,14.17,3.97
e5a3438891c0bfdb9394643f95273d8e,11112.62,224,15.38,3.83
0db783cfcd3b73998abc6e10e59a102f,11076.55,132,11.66,4.21
7b07b3c7487f0ea825fc6df75abd658b,11074.64,93,9.45,4.34
624f4ece8da4aafb77699233d480f8ef,10927.37,53,13.52,4.19
18a349e75d307f4b4cc646a691ed4216,10909.56,121,11.07,3.39
7008613ea464bad5cb9b83456e1e6a8f,10860.05,127,14.1,4.28
73a63f72308aa20a46f4b1632018f196,10785.79,29,11.39,4.05
054694fa03fe82cec4b7551487331d74,10703.75,21,30.17,3.36
b92e3c8f9738272ff7c59e111e108d7c,10645.3,62,16.31,4.06
cb8bcce248bb1fb274ba762d8b971456,10635.02,68,12.57,4.26
9596c870880d900012f2e8e6e30d06d7,10615.33,22,13.44,4.04
17306570e772e7718c92a562d33f5f1d,10600.63,29,13.96,3.63
a49928bcdf77c55c6d6e05e09a9b4ca5,10574.25,98,16.94,2.95
7b1222c3624aa89b9558b50a2594188c,10561.09,22,17.67,4.45
048c2757535328e0d7dac690ad3c0aae,10551.06,51,18.51,4.18
f27e33c6d29b5138fa9967bcd445b6d5,10482.25,93,12.44,4.09
5b8154610ebb21fb90eb587365e673df,10474.98,38,13.16,4.2
0bae85eb84b9fb3bd773911e89288d54,10406.4,137,10.27,4.21
b2ac621f0d0322434d04a12b078b9369,10356.89,30,14.67,4.4
e96498ed8daaa3e9c23f7a62da76591c,10332.19,34,15.2,3.94
febab0275244b9a49a623f0bd613ca2f,10289.17,109,8.17,4.26
8e8a7ce9f2f970dc00e2acf6f6e199f6,10284.82,65,12.2,4.03
b1a81260566c1bac3114a6d124413f27,10250.2,51,8.56,4.22
972d0f9cf61b499a4812cf0bfa3ad3c4,10240.59,83,18.17,2.96
d98eec89afa3380e14463da2aabaea72,10225.31,168,8.54,4.29
b1fc4f64df5a0e8b6913ab38803c57a9,10140.99,107,15.73,3.78
5f2684dab12e59f83bef73ae57724e45,10123.06,68,10.28,3.77
3c487ae8f8d7542beff5788e2e0aea83,10105.35,30,13.41,3.91
640e21a7d01df7614a3b4923e990d40c,10045.12,116,10.45,4.26
e7df4cd29ab5abab70fb0783ddb53987,10022.07,23,10.35,4.29
7a241947449cc45dbfda4f9d0798d9d0,10018.1,62,12.76,3.58
6d803cb79cc31c41c4c789a75933b3c7,9925.07,58,12.89,4.28
7d456afc660226829370f3173d14520c,9857.87,56,9.03,4.27
2dee2ce60de9709b1a24083217181a1f,9844.56,54,14.45,4.36
3078096983cf766a32a06257648502d1,9700.9,59,12.08,4.2
4371b634e0efc0e22b09b52907d9d469,9678.79,102,10.74,4.41
ebd2d60905fb58271facef5596b620d3,9675.02,84,12.88,4.13
06df0c10d34e459d9672bc77388742eb,9595.77,26,9.7,4.37
db2956745b3a8e9f3785c99f34b5d25e,9574.27,47,14.35,3.73
2089a6d640999f9b9141ac719b2af596,9525.94,44,19.53,3.73
8a432f4e5b471f8da497d7dc517666e2,9520.11,95,7.96,4.2
aac29b1b99776be73c3049939652091d,9465.52,98,14.37,3.94
33a17d60c64393351ebf1ef860f4e0f2,9431.86,43,10.58,4.62
37515688008a7a40ac93e3b2e4ab203f,9417.7,228,15.08,4.08
750303a20e9c56b2a6bc45cdce0b897d,9394.81,54,13.66,4.28
6c177e38df6d3f34182b1f1d427231bf,9376.53,55,14.3,4.04
af4a0e4cfe1d9c26b6712b1be25a72e5,9351.6,21,12.82,3.5
fdb9095204a334cd8872252ffec6f2db,9289.37,46,8.87,4.14
609e1a9a6c2539919b8205cf7c4e6ff0,9282.42,87,10.34,3.6
ad781527c93d00d89a11eecd9dcad7c1,9279.26,44,25.5,3.07
a2e874074c877c5a05abae80ad6e488f,9274.8,44,19.19,3.91
fcb5ace8bcc92f75707dc0f01a27d269,9273.33,62,10.43,3.79
b18dc380845b24038cfc48006478f099,9248.93,44,13.99,3.92
93dc87703c046b603023e75222018b45,9206.29,35,19.72,4.0
4bfc7a4a1cf8d4d2121c27422d9e50b5,9191.59,26,8.03,4.23
b4ffb71f0cb1b1c3d63fad021ecf93e1,9176.07,144,9.75,4.02
725c32fa80c2faacc4fc88450d27314e,9166.66,89,9.48,4.54
7722b1df1b0e383e000397b2c11e3e19,9165.3,134,8.59,4.22
bd0389da23d89b726abf911cccc54596,9128.47,87,13.49,4.2
8e6cc767478edae941d9bd9eb778d77a,9115.41,106,16.5,3.89
903037660cf848a717166eb7a06d616e,9083.28,45,11.61,3.77
08633c14ef2db992c11f840f04fad4cd,9068.82,74,10.11,4.24
0432ead42b6c8a0bdf68154add917fdf,8999.62,85,8.86,4.48
8648b1e89e9b349e32d3741b30ec737e,8946.05,95,9.25,4.03
26d8a1c7c75d513045798992ead43aa2,8945.78,36,12.48,4.24
784ba75dd9d20200c4caed3d7a77141a,8924.95,21,13.33,3.6
6fd52c528dcb38be2eea044946b811f8,8881.58,67,21.19,3.5
5d0363b33554b373851fc1622e4d5f3c,8802.97,94,12.73,4.05
5b925e1d006e9476d738aa200751b73b,8801.84,63,10.89,4.6
4e17c65a516f69d023a2ae78b84f28d6,8794.8,61,14.78,4.08
8a32e327fe2c1b3511609d81aaf9f042,8792.04,132,9.1,3.78
dbb9b48c841a0e39e21f98e1a6b2ec3e,8768.26,108,9.95,4.2
b410bdd36d5db7a65dcd42b7ead933b8,8733.61,44,9.2,4.66
062ce95fa2ad4dfaedfc79260130565f,8721.44,55,13.34,3.97
e333046ce6517bd8bb510291d44f0130,8699.32,68,10.0,4.39
