customer_state,customer_city,category,orders,gmv_brl
SP,rio claro,housewares,14,3580.41
MG,belo horizonte,luggage_accessories,24,3564.37
MG,montes claros,furniture_decor,19,3561.76
MG,uberlandia,watches_gifts,20,3559.48
CE,fortaleza,toys,28,3554.34
SP,sao caetano do sul,bed_bath_table,32,3552.38
RJ,sao goncalo,toys,22,3551.82
SP,guarulhos,perfumery,37,3545.56
SP,sao paulo,books_technical,41,3544.22
ES,vitoria,garden_tools,18,3533.53
MA,sao luis,auto,19,3530.45
SP,sao bernardo do campo,cool_stuff,22,3529.63
SC,jaragua do sul,furniture_decor,10,3526.62
SP,maua,auto,18,3523.26
SP,guarulhos,telephony,50,3520.74
MG,uberaba,computers_accessories,17,3515.45
PA,belem,housewares,15,3497.8
RS,caxias do sul,furniture_decor,25,3494.2
SP,guaruja,health_beauty,16,3490.68
MS,campo grande,bed_bath_table,28,3484.13
RO,porto velho,health_beauty,13,3478.9
RS,caxias do sul,baby,10,3471.89
RJ,niteroi,auto,23,3471.29
SP,limeira,bed_bath_table,23,3469.57
RJ,niteroi,toys,29,3463.78
SP,sao paulo,costruction_tools_garden,29,3463.11
SP,piracicaba,housewares,29,3452.22
SP,cotia,cool_stuff,16,3451.61
BA,salvador,electronics,43,3450.22
RJ,macae,computers_accessories,19,3449.18
RJ,rio das ostras,watches_gifts,15,3448.09
MG,juiz de fora,furniture_decor,27,3446.81
SP,diadema,health_beauty,26,3446.62
SP,sao bernardo do campo,baby,27,3434.86
SP,taboao da serra,auto,14,3434.28
ES,vila velha,bed_bath_table,27,3434.23
RJ,sao goncalo,health_beauty,25,3420.28
RJ,macae,bed_bath_table,28,3416.61
SP,barueri,furniture_decor,30,3410.4
RS,porto alegre,office_furniture,15,3407.58
DF,brasilia,luggage_accessories,23,3402.86
SP,ribeirao preto,toys,25,3400.54
RS,santa cruz do sul,furniture_decor,16,3398.74
SP,santo andre,perfumery,25,3386.18
MG,juiz de fora,garden_tools,20,3377.19
SP,sao carlos,bed_bath_table,30,3366.91
SP,diadema,watches_gifts,11,3360.9
PR,curitiba,office_furniture,14,3353.36
MS,campo grande,furniture_decor,22,3340.01
SP,sao paulo,art,33,3324.26
RJ,niteroi,garden_tools,26,3322.02
SP,ribeirao preto,perfumery,18,3306.06
RJ,barra mansa,sports_leisure,14,3304.6
MG,ipatinga,health_beauty,16,3304.41
RS,porto alegre,unknown,26,3300.58
DF,brasilia,electronics,50,3298.02
SP,indaiatuba,sports_leisure,25,3297.95
SP,sao paulo,costruction_tools_tools,11,3297.24
TO,palmas,health_beauty,14,3294.7
PE,recife,auto,25,3287.51
PA,belem,cool_stuff,19,3278.32
PR,curitiba,small_appliances,13,3273.23
SP,sao carlos,computers_accessories,15,3270.26
SP,piracicaba,telephony,15,3262.72
ES,vitoria,housewares,20,3261.37
RJ,rio de janeiro,furniture_bedroom,12,3257.47
PI,teresina,computers_accessories,17,3248.49
MG,betim,health_beauty,20,3241.39
RJ,petropolis,housewares,19,3229.64
SP,taboao da serra,sports_leisure,23,3229.62
SP,praia grande,sports_leisure,26,3224.1
DF,brasilia,unknown,46,3222.09
SE,aracaju,computers_accessories,21,3220.46
PR,curitiba,stationery,31,3214.74
SP,guaruja,bed_bath_table,27,3202.18
SP,limeira,watches_gifts,17,3201.94
SP,mogi das cruzes,housewares,27,3190.58
ES,vitoria,furniture_decor,29,3183.74
PR,curitiba,fashion_bags_accessories,33,3177.37
MG,contagem,furniture_decor,25,3172.06
SP,bauru,computers_accessories,16,3168.12
RJ,marica,watches_gifts,15,3159.29
SP,guarulhos,baby,27,3155.58
GO,goiania,unknown,26,3149.09
SP,santos,office_furniture,10,3143.26
RS,canoas,sports_leisure,19,3133.74
SP,barueri,housewares,30,3131.71
